taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,SA,5261,242,235,14892312,197,3453243,184,3138441,4,11005,137,5593322,132,1210437,19,134004,7,110005,4,30107,1,5286,240,16266593,2,1105,40,36052,169,1186699,13,148326,28,310362,15,65581,13,-36853,111,34465,143,128,97402
2017/2018,SA,5262,322,308,14653506,258,2876121,241,2904258,4,6893,199,8375340,188,1762598,11,76959,11,147753,3,13205,1,56503,318,15993618,4,10438,45,15725,220,873088,17,196538,33,426783,15,90849,18,-49088,185,58653,189,166,112300
2017/2018,SA,5264,738,726,32372029,595,5818080,535,5844757,12,55075,501,22469113,487,4711517,56,413123,55,656034,5,41545,11,294958,732,34429757,13,20107,148,40768,518,1926159,41,278404,102,1233795,49,373729,53,-257855,429,138562,407,366,273921
2017/2018,SA,5265,219,214,10189411,180,1924289,149,1750825,3,10891,145,5220603,136,1004823,16,101053,18,304500,0,0,0,0,218,11087703,2,4539,37,10225,151,503749,9,71375,34,474069,19,87347,15,-89633,117,38161,121,108,76624
2017/2018,SA,5266,429,422,22989062,359,5024943,309,4828012,6,14710,271,11359728,262,2452148,23,114467,25,292355,2,7369,1,24043,427,24919648,4,9262,66,28456,289,1415566,23,254888,73,770375,44,196399,29,-97510,247,78537,310,275,206494
2017/2018,SA,5267,1274,1238,59130858,1014,11279266,934,11385936,31,137376,889,40097127,856,8472795,68,410242,54,682970,7,78259,9,388032,1267,64364770,17,31844,234,161964,928,3825330,89,714630,167,1693376,76,288807,95,-470816,693,212458,833,712,553589
2017/2018,SA,5268,2463,2422,110708086,2019,19626268,1851,19974629,33,131807,1866,82521464,1821,16772550,167,1046132,124,1639541,7,92927,17,478420,2455,120466759,59,90306,508,529502,1912,7563603,172,1272390,298,3692411,128,570739,172,-1123967,1453,457033,1060,901,654190
2017/2018,SA,5269,127,125,5860528,107,1052673,100,869653,1,1173,90,3325125,87,621837,8,50352,2,26018,0,0,0,0,126,6471898,3,1353,26,8808,94,264463,6,23106,19,222554,12,76748,6,-6421,75,23461,57,45,28024
2017/2018,SA,5270,435,426,20672249,345,3975184,308,3800423,8,25138,265,11678674,256,2490350,15,112738,34,374722,0,0,3,135022,434,22308157,10,11167,77,49073,305,1191413,26,172872,53,628163,32,108429,21,-106559,230,71863,252,223,163162
2017/2018,SA,5271,4995,4912,242155101,4003,47290484,3659,48661521,106,479541,3669,167612776,3551,35710380,351,2197266,296,3328544,22,259060,56,1686550,4964,257802820,108,182386,930,369861,3766,13584725,351,2961480,610,7526957,284,1423877,328,-1920734,2692,835652,2531,2184,1495367
2017/2018,SA,5272,528,523,31658782,416,7705087,383,7755119,15,50269,352,15547043,333,3498542,27,153653,20,213261,3,14389,2,38292,525,33800381,8,10073,79,26396,374,1977122,41,267389,83,914759,33,137224,50,-395827,267,84110,328,280,197746
2017/2018,SA,5273,86,84,4503071,66,992879,61,990779,1,5503,53,2185706,50,462793,4,16849,3,14155,0,0,0,0,86,4975987,1,830,17,7492,57,418116,8,22640,14,160208,5,15845,9,-45986,38,9643,60,48,39923
2017/2018,SA,5275,1373,1361,74577445,1091,16243522,998,16052660,22,67873,909,38866243,865,8155119,86,515291,77,982485,8,78366,17,673546,1366,79219338,27,26906,225,170178,967,4425814,82,888207,167,1820166,81,430030,90,-415619,688,220890,784,679,498435
2017/2018,SA,5276,892,879,44491911,691,9159975,623,9274109,17,64726,522,22269121,498,4886326,45,310279,66,754967,9,86562,14,419244,890,47390760,8,17432,147,70518,594,2633962,59,447659,142,2128905,73,593263,71,-329857,459,146809,534,483,379657
2017/2018,SA,5277,1659,1632,85540834,1344,17645400,1220,18344634,38,152485,1284,60129050,1248,12966866,137,902748,91,1147343,6,66786,18,572600,1649,90335749,42,62570,279,156345,1210,4437598,166,971145,163,1665050,80,467954,84,-319013,874,262261,860,747,493781
2017/2018,SA,5278,316,310,16239186,259,3306742,231,3383242,9,36769,211,9471145,204,2116252,38,285319,11,140055,4,17614,3,113364,315,17297735,5,3480,58,149515,213,968869,23,159127,39,458719,26,150503,13,-71788,167,53307,180,167,121968
2017/2018,SA,5279,209,208,9890974,161,1884597,152,1901652,4,18116,152,6764431,147,1431772,25,185006,9,90126,2,14059,3,111069,208,10535189,6,6337,31,131884,143,644215,15,108972,22,211809,12,30624,10,-36398,117,37165,94,76,46106
2017/2018,SA,5280,4076,4020,203164568,3258,40172583,2984,41351565,75,346189,2969,142177998,2869,31653698,344,2362087,219,2432454,47,615013,65,1952312,4047,214452021,137,224150,736,238715,2947,10228156,453,3757935,536,6072205,207,1185889,336,-1525682,2092,683597,2121,1836,1209209
2017/2018,SA,5290,14724,14620,735895758,12339,137816484,11377,144788293,470,1791228,11970,598294453,11669,132064099,1456,9534071,891,9841613,74,855144,227,7832198,14648,764432928,437,714270,3251,1714500,11322,27726620,1475,11677975,1800,24654039,795,4825129,1015,-6298291,8200,2523815,7403,6481,3888108
2017/2018,SA,5291,4586,4533,245827080,3802,50547319,3543,52855534,85,329671,3456,181335390,3380,41625387,248,1485137,194,2109627,33,306698,58,1850592,4560,258126209,114,176696,827,271264,3353,11660495,408,3227676,707,8642537,294,1441111,423,-2532938,2343,717431,2698,2320,1498880
2017/2018,SA,5301,309,298,15378906,235,3276238,197,3074052,5,17112,160,5953363,153,1272624,28,199315,27,351491,1,12,3,145262,306,16632116,8,10211,56,27431,187,936537,15,194644,42,532201,28,212375,16,-108200,143,46269,179,163,114953
2017/2018,SA,5302,509,499,33247438,420,8519153,375,8603660,9,41667,337,15278609,328,3373519,26,174113,36,455562,1,2046,6,113128,506,34843296,8,9866,80,25711,346,981969,37,308289,50,368983,27,82380,23,-70300,273,85349,317,283,202226
2017/2018,SA,5303,118,116,5705502,103,1054716,91,982098,2,6651,80,3523795,80,721233,6,38052,6,94764,0,0,0,0,117,5985201,2,3722,15,3355,70,205894,4,73388,3,16084,0,0,3,-8677,65,19982,56,45,30424
2017/2018,SA,5304,541,525,23494173,434,4408554,390,4308341,10,42219,360,14191995,345,2966743,36,253296,27,336350,2,14025,3,49844,534,27252349,6,11221,64,19696,356,1390970,27,233369,63,562312,28,162277,35,-110239,264,84268,289,256,173036
2017/2018,SA,5306,68,66,2361749,45,378031,41,348194,0,0,30,1308409,29,265114,4,19122,8,135900,0,0,0,0,68,2502074,0,0,12,5698,43,57596,0,0,7,47420,2,8312,5,-16735,34,8821,49,43,29710
2017/2018,SA,5307,320,307,11946598,244,2054866,203,1969448,1,3048,174,7529940,168,1588628,33,192185,27,366187,2,1587,2,82985,317,13392999,3,5370,45,18606,181,686758,13,117970,44,467003,26,136864,20,-103860,167,54458,141,126,88017
2017/2018,SA,5308,63,59,1556954,43,211753,37,213062,0,0,31,1032063,30,179026,4,29538,2,36445,0,0,0,0,62,1775635,0,0,6,366,31,127637,1,3607,7,42899,4,9824,3,-7515,36,12633,26,23,13674
2017/2018,SA,5311,139,135,4673792,98,731880,89,738150,1,2277,88,3287849,84,625118,19,179511,3,29589,2,53350,0,0,137,4867512,1,462,19,2778,83,184405,1,2054,13,121109,5,15305,8,-14162,76,24579,69,52,33111
2017/2018,SA,5320,287,285,12596011,218,2219767,200,2295837,2,8856,205,9459938,198,2086691,33,229336,19,259187,6,57975,4,149006,285,13126450,5,24486,55,13451,207,530439,24,321976,43,528269,20,82780,23,-119001,147,43913,136,118,72957
2017/2018,SA,5321,165,165,6556572,124,1045269,102,1036012,2,10466,122,4943056,117,1048530,20,175679,21,258806,2,29478,3,111767,165,6876510,7,9049,28,4574,110,318081,12,122339,7,149895,4,28972,3,-37534,83,26907,66,60,39701
2017/2018,SA,5322,443,436,19251874,357,3374926,331,3476667,4,9785,345,14699141,333,2938048,43,300602,24,279619,1,621,8,129688,439,20516866,5,2628,103,37790,341,1206874,28,362874,43,423683,21,75193,23,-115084,266,88671,197,171,109591
2017/2018,SA,5330,1896,1873,86349662,1562,15317866,1415,15787641,18,79615,1413,61302736,1358,12779869,166,1009139,133,1750935,18,150385,25,594696,1884,91278206,38,62325,468,157803,1423,4757190,171,1838986,272,3427208,154,1024874,120,-666245,1108,361712,932,821,545769
2017/2018,SA,5331,167,166,7833808,123,1640212,105,1674708,0,0,105,4375728,101,909734,25,155198,15,164188,1,12053,2,36062,166,8267808,2,4063,36,65459,113,395765,8,26268,35,278625,17,51764,18,-38090,86,28319,90,72,51416
2017/2018,SA,5332,209,206,8747514,168,1433676,146,1438429,4,13509,152,6766180,147,1407326,21,107211,18,189725,4,63007,2,53827,208,9324056,6,4955,33,10020,151,539925,11,76347,12,142309,8,44494,5,-12875,126,41191,90,80,53841
2017/2018,SA,5333,3425,3391,159647224,2806,29192727,2596,30362029,97,360311,2617,122448850,2549,26263535,279,1811058,228,2694623,15,79770,60,1951414,3407,168444821,64,122770,765,317452,2612,8141314,231,2037879,467,6354341,224,1172530,247,-1647957,1953,615933,1749,1536,958188
2017/2018,SA,5340,796,786,37608836,659,7237239,604,7439318,18,66707,603,27992055,588,6047813,61,450259,39,425363,8,127724,9,290684,793,40061077,12,22190,166,58808,593,1880060,75,643724,101,1170839,41,271562,60,-211409,459,149347,368,340,208495
2017/2018,SA,5341,4319,4283,200512375,3533,37302644,3229,38799043,97,393330,3386,153215772,3321,32841038,499,3061337,266,2938055,38,327164,61,2104117,4297,210418831,76,122811,920,226906,3241,9205505,344,2755081,539,6511898,261,1340321,282,-1496519,2531,808866,1890,1619,947682
2017/2018,SA,5342,571,565,26598766,472,4790492,435,4966353,14,46714,427,19816928,417,4164549,56,328128,35,435030,4,49756,11,426309,568,27761629,13,19015,116,38776,417,1148043,48,328122,74,984890,37,176123,37,-233832,342,105599,263,231,142532
2017/2018,SA,5343,2768,2748,127557684,2278,22624753,2085,23389802,79,291831,2176,102614278,2125,22496757,343,2179283,206,2343759,18,233257,55,2094889,2754,133859209,58,107858,675,224545,2146,6085039,214,1598532,347,4383044,175,868429,173,-944576,1612,504338,1215,1046,649682
2017/2018,SA,5344,431,427,18497453,347,3108643,307,3244141,10,39878,328,15042556,323,3321643,43,265675,23,285616,3,53827,6,161443,430,19393872,10,31672,83,33574,312,803559,41,214540,40,560469,15,85692,26,-166200,254,83826,174,142,88021
2017/2018,SA,5345,1894,1869,86267669,1559,15206454,1395,15407705,41,167420,1396,65111993,1371,14276279,211,1401605,159,1900357,5,78590,41,1504897,1877,90500803,30,66899,385,116279,1406,3991730,150,1391947,274,3434619,145,715691,135,-642367,1103,342006,894,788,478179
2017/2018,SA,5346,177,173,7753533,146,1270734,132,1330040,3,8487,147,6827784,146,1432103,22,152584,13,173693,2,14114,1,32074,175,8122320,2,6352,33,11136,138,359565,14,128586,25,246805,16,49608,9,-22859,104,29472,82,72,43001
2017/2018,SA,5350,292,289,14797507,238,2906230,225,3074990,7,26406,229,12137924,224,2762059,11,72199,9,115924,5,34481,8,299876,290,15505860,7,6414,71,11350,224,704850,28,279330,57,680762,14,135360,43,-261359,151,49202,161,137,90210
2017/2018,SA,5351,3536,3508,188750116,2938,37314702,2744,39279505,112,448562,2801,155927595,2731,36691845,185,1223068,165,1738371,39,380068,110,3957817,3516,196566048,97,138558,907,302941,2748,7629814,356,3285327,582,7506635,185,1041250,405,-2740840,1791,547770,2196,1878,1175049
2017/2018,SA,5352,3251,3223,180316132,2666,37730054,2428,39502363,70,249918,2401,136202592,2322,33082480,178,1080881,194,1982119,31,284585,77,2437631,3238,190193653,84,128609,918,499565,2515,9316193,364,3309627,512,8081225,209,1416046,311,-2426874,1573,476399,2243,1922,1348324
2017/2018,SA,5353,2317,2288,119025855,1848,24236652,1692,25233760,42,160756,1720,86908279,1667,20289565,155,1000090,140,1614508,14,125994,49,2072808,2302,124321883,46,75423,549,226598,1708,4870582,238,2015352,322,4552034,151,902675,174,-1007040,1170,355987,1420,1216,800670
2017/2018,SA,5354,165,165,6307350,123,1039573,111,1054325,3,12229,111,4619198,104,1005016,27,196974,8,121012,0,0,6,91512,165,6521329,0,0,22,2510,107,213979,11,122842,18,194414,10,26521,8,-20978,87,30106,80,74,47153
2017/2018,SA,5355,4494,4457,231796773,3706,44678959,3431,46352506,106,363637,3447,186719998,3369,43104972,288,1797721,285,3244512,47,508024,93,3436864,4470,242640123,101,146956,1235,461953,3492,10124158,411,3960776,585,8632158,239,1674430,350,-2379374,2312,687560,2863,2530,1631194
2017/2018,SA,5356,466,457,21170980,376,3731136,338,3889595,6,24587,360,17199125,347,3763173,44,303139,23,301863,3,8576,9,390476,462,22404335,6,5654,110,27756,351,754154,35,231573,57,495199,25,113983,32,-157027,251,79733,252,217,130504
2017/2018,SA,5357,208,205,8061354,158,1289854,130,1280877,2,7975,142,5917082,134,1222959,17,89579,26,345971,0,0,2,31112,206,8426265,1,44,42,21792,134,331325,11,59369,29,372655,13,61358,16,-54534,110,34635,83,75,53050
2017/2018,SA,5360,771,763,41691859,647,8249113,606,8657018,16,56622,594,32688847,580,7724162,30,148363,23,269858,5,38611,22,826699,767,43811681,14,20019,213,95245,634,1967442,67,636823,119,1464525,41,194759,81,-674856,387,121779,510,441,278140
2017/2018,SA,5371,884,874,46201795,729,9042456,684,9509468,14,53994,696,38744688,684,9114898,54,325715,27,249462,6,35417,16,469608,878,48346508,27,40772,230,54127,682,2003332,79,526334,150,2024293,39,239545,111,-861422,474,142768,508,415,258247
2017/2018,SA,5372,1327,1313,67894677,1140,12590546,1075,13237853,38,142992,1091,58140816,1070,13153455,82,497816,54,651981,17,131208,21,779191,1317,71197131,37,61955,367,69033,1063,3086888,103,698025,179,1820628,58,272123,121,-582662,739,223197,726,633,356176
2017/2018,SA,5373,1828,1803,91189073,1498,17512702,1365,18057351,45,193783,1383,67617766,1335,15126321,155,1075778,111,1238387,14,243331,45,1801716,1812,95909350,29,39473,450,166253,1408,4145033,134,1308557,234,3091589,104,663768,130,-705997,972,303901,1064,919,586059
2017/2018,SA,5374,799,784,36011942,590,7293266,516,7449479,9,31593,517,22949432,495,5088020,74,506208,55,752001,2,49580,14,373459,791,38476843,8,7324,148,65742,533,1813700,39,360661,94,1238009,55,377661,39,-247610,407,129933,434,389,254913
2017/2018,SA,5381,189,188,7494147,145,1240553,130,1202521,1,1152,113,4784724,111,988495,19,74675,18,223800,1,2762,1,12156,188,8121809,1,845,36,27448,122,476504,6,76088,7,57819,1,327,6,-47007,106,34988,118,105,74444
2017/2018,SA,5400,510,500,25326923,431,4672795,400,4889633,9,31998,404,20951585,400,4782939,44,315256,9,113908,3,27734,4,140932,502,26522872,12,19687,115,25015,386,1162429,34,183118,60,692458,16,79723,46,-246773,281,87040,271,235,129915
2017/2018,SA,5401,434,431,21039423,373,3822612,336,3894725,10,44323,336,16165374,327,3600849,51,335595,30,394487,1,8290,9,318838,433,22107620,12,9315,131,52682,349,978834,29,207321,46,576771,23,130463,24,-124817,256,77798,189,159,110789
2017/2018,SA,5410,166,162,7683281,130,1410617,117,1458809,3,11640,123,6560243,120,1505348,12,76430,8,121846,1,17400,3,64388,164,7977939,2,2612,43,8115,121,275465,7,40627,18,192328,6,18669,12,-56941,85,25706,79,62,42984
2017/2018,SA,5411,190,188,9021817,160,1631890,139,1683983,6,30329,122,5564782,120,1177674,21,132856,14,166255,1,6000,4,108382,190,9726905,3,2883,52,91382,145,652454,4,50756,37,505380,16,174262,21,-85907,109,36686,98,85,59622
2017/2018,SA,5412,647,643,29551952,513,5380246,454,5534630,17,56505,432,19531553,414,4341185,73,544163,50,557431,6,22394,24,818834,645,31535838,11,5943,142,179961,456,1913207,56,653931,91,1127587,47,332138,46,-273563,356,110168,379,334,246132
2017/2018,SA,5413,474,466,19242073,367,3221969,306,3222667,7,31654,307,12475841,292,2705835,42,340930,30,470155,0,0,5,54043,469,20733858,8,24202,106,40361,331,1311386,28,188654,59,924526,38,328596,24,-91645,260,83085,284,253,181349
2017/2018,SA,5414,102,100,3315066,67,468258,54,468508,3,13864,60,2178194,52,471243,7,47129,9,100655,0,0,2,49516,100,3545128,4,4808,23,18784,62,181640,3,13080,14,179525,11,45195,3,-3656,49,15168,65,55,39732
2017/2018,SA,5415,148,142,6693384,105,1320270,91,1323970,2,6428,89,4302963,85,1002533,6,28065,10,134452,1,27877,6,174020,146,7797060,6,11370,32,185114,90,442309,11,68801,16,258201,8,36077,8,-44986,65,19425,103,89,63572
2017/2018,SA,5416,134,132,5451642,102,913592,90,926567,0,0,103,4184957,98,899377,15,127607,9,124148,4,62115,3,36262,134,5811078,4,7810,27,6872,85,275761,11,80942,26,346622,3,36493,23,-196290,69,24291,81,69,38335
2017/2018,SA,5417,800,789,37322834,638,6870681,572,6836409,15,59745,525,23649171,503,5149466,64,469086,51,624599,6,68961,15,438107,794,39717263,16,19075,170,68919,553,2279816,62,442371,127,1625133,77,480492,51,-232592,418,136560,409,362,249449
2017/2018,SA,5419,124,118,6885257,83,1740683,78,1765994,2,10837,65,3208948,63,756894,2,17871,14,176430,0,0,1,38665,124,7438989,3,950,19,7611,69,270038,8,57775,14,171845,4,25175,10,-31857,50,16760,81,72,57927
2017/2018,SA,5420,50,50,3663762,41,910234,40,887787,0,0,28,1180928,27,243449,2,13663,2,42373,1,11596,0,0,50,3804045,0,0,6,21707,30,140283,1,4937,4,84220,4,30998,0,0,20,6475,29,24,20000
2017/2018,SA,5422,642,640,27692510,515,4660566,458,4599297,11,33421,464,20236263,451,4490377,106,773472,69,819283,5,59948,38,1435094,640,28882357,15,25532,160,44959,453,1166171,35,374208,64,611505,34,137598,33,-136713,370,117648,253,221,165498
2017/2018,SA,5431,523,516,22889801,404,4377559,352,4377473,10,39602,340,14744395,326,3431715,49,276577,32,418265,2,15210,6,167414,518,24379333,14,26348,126,50602,362,1407445,38,339860,69,769542,35,156165,36,-265581,255,82724,320,285,195210
2017/2018,SA,5432,92,89,5118563,78,1028939,72,1010232,0,0,47,1827724,44,371188,3,31818,6,45433,2,10325,4,162310,92,5608875,2,2385,32,20884,71,469321,8,96667,11,100922,8,33528,3,-13468,41,14829,73,64,52968
2017/2018,SA,5433,678,672,34966588,536,6975493,490,7318804,16,56922,525,29507890,514,7360025,67,455930,60,735934,8,139360,15,476380,673,36608869,23,39770,288,53892,524,1594943,65,477156,110,1250962,58,189956,54,-306407,307,94222,361,311,195228
2017/2018,SA,5434,240,238,12450767,199,2425462,179,2443476,5,18986,158,6616431,150,1518495,19,118600,26,347238,0,0,11,272181,239,13356177,6,9125,61,17772,171,904903,13,107142,27,293825,9,77591,18,-95574,122,37934,149,136,91351
2017/2018,SA,5440,144,144,8915039,122,2021982,114,2065797,4,18677,99,4905684,95,1126291,10,82626,5,87753,0,0,0,0,144,9747182,0,0,35,22948,112,832143,12,150507,23,251708,8,42902,15,-58053,76,22974,83,76,63420
2017/2018,SA,5451,441,432,21749672,340,4278525,304,4345057,12,54265,299,14122307,290,3105448,28,230317,34,460730,5,41835,10,455192,438,23081156,12,29304,118,121032,320,1206115,32,277938,67,1020267,34,300993,35,-182753,205,63439,291,263,178288
2017/2018,SA,5452,287,281,12724253,215,2327710,193,2440950,7,28480,209,9930323,202,2305582,14,97337,24,276836,3,60406,4,109298,285,13666574,13,6496,63,27087,202,884280,29,444071,36,673765,17,91306,19,-116558,147,46450,191,174,119987
2017/2018,SA,5453,3068,3042,159887884,2499,32078545,2276,33239362,77,300378,2170,110330657,2113,25011590,192,1142696,185,2073503,24,214548,75,2444687,3057,168980643,97,138698,837,388476,2294,8671814,244,2476267,481,5636571,211,1118139,282,-1528064,1589,503805,1967,1742,1199854
2017/2018,SA,5454,210,206,8708863,160,1557006,139,1523535,6,26088,137,5725697,133,1248865,23,197053,16,184284,0,0,0,0,209,9640819,5,15235,37,10654,143,659205,10,67433,19,170440,6,24291,14,-47448,109,35069,136,119,93327
2017/2018,SA,5460,383,376,18223201,303,3596280,275,3709417,9,32502,259,11843342,252,2612692,24,160070,22,279582,4,19839,8,158930,380,19508995,11,13975,115,31573,278,1186200,21,136288,52,576555,20,109176,30,-177149,186,59985,210,169,118427
2017/2018,SA,5461,1384,1366,68643762,1120,13436672,1018,13893912,38,176219,977,46758813,948,10258479,109,617032,94,1123871,7,57255,24,710221,1373,72916392,47,79080,655,256571,1085,4062721,106,997100,184,2236997,80,368109,106,-479347,719,228643,870,774,559216
2017/2018,SA,5462,331,328,15985860,274,2937801,252,3037336,5,19210,240,10426854,223,2241653,35,245429,23,344060,0,0,1,23459,330,17098307,9,14993,86,33089,243,1029849,25,144684,36,377347,14,49691,24,-145551,187,60918,191,168,118845
2017/2018,SA,5464,297,293,13808556,236,2613247,212,2653942,5,19985,214,9275181,205,1969133,27,179944,20,273402,0,0,2,802,297,14915404,11,16320,61,17896,219,977869,18,85068,54,562197,27,90947,28,-153174,163,49594,209,184,137882
